1,aabandon,を諦める、を見捨てる
2,admire,に敬服する、を称賛する、に感心する
3,attach,を付ける、を添付する、に愛着を感じさせる
4,beast,動物、獣
5,bully,いじめっ子、いじめる
6,cancer,がん
7,chore,雑用、退屈な仕事、日常の雑事
8,compliment,賛辞、お世辞
9,comprehend,をしっかりと理解する
10,compromise,妥協、妥協する
11,confidence,信頼、自信
12,crowd,群衆、に群がる、群がる
13,dedecate,を捧げる
14,desperate,絶望的な、欲しくてたまらない、必死の
15,discourage,を落胆させる、を妨害する
16,distinguish,を見分ける、を区別する、区別する
17,elaborate,手の込んだ、詳しく述べる
18,endure,に耐える
19,enhance,を高める、をよりよくする
20,epidemic,伝染性の、流行の、伝染病、流行
21,era,時代
22,establish,を設立する、を確立する、を立証する
23,faith,信頼、信仰
24,fame,名声
25,famine,飢饉、物質の不足
26,gravity,重力
27,harvest,収穫物、収穫時期、収穫する
28,heal,いやす、いえる
29,heritage,相続財産、文化遺産
30,hesitate,ためらう
31,impose,課す、つけこむ
32,indispensable,不可欠な
33,ingredient,材料
34,invent,投資する
35,invite,招く、依頼する
36,neglect,無視、怠慢、無視する、怠ける
37,nutrition,栄養物
38,outcome,結果
39,parliament,議会
40,pity,哀れみ、気の毒に思う
41,primitive,原始の
42,proverb,ことわざ
43,radical,根本的な、急進的な
44,refuse,拒む、ごみ
45,reinforce,強化する
46,settle,落ち着かせる、解決する、定住する
47,shame,恥ずかしさ、羞恥心
48,substitute,代用する、代用品
49,temptation,誘惑物
50,wheat,小麦
51,praise,賞賛する、賞賛
52,burst,突発する、破裂する
53,exclaim,叫ぶ
54,compel,することを強いる
55,portray,描く、描写する
56,drag,のろのろと進む
57,recall,思い出す
58,be short of,が不足している
59,be nothing short of,に他ならない
60,decision,決意
61,meditation,瞑想、熟考
62,crucial,必要不可欠の
63,reputation,名声
64,shrink,尻込みする
65,ladder,梯子
66,resolve,決意する
67,triumph,勝利
68,grave,重大な、墓穴
69,diet,食事
70,fundamental,基本的な
71,crop,作物
72,prior,前の
73,overall,全体の
74,fix-up,理解する
75,virtually,ほとんど、実質的には
76,figure out,理解する
77,a great deal of,多量の
78,negotiate,交渉する
79,handful,一つかみ程度の
80,absorb,理解する、吸収する
81,elaborate on,詳しく述べる
82,barely,かろうじて～する
83,outcome,結果
84,civil,民間人の
85,cast out,追い出す
86,cast,投げかける、役を割り当てる
87,shed,光を当てる、涙を流す、小屋
88,hang,つるす
89,brief,短期間の、簡潔な
90,seldom,めったに～しない
91,scarce,不足して
92,apple,りんご
93,pear,なし
94,brown,茶色
